FamilyName|Description
Asteraceae|The Asteraceae family, commonly known as the aster, daisy, or composite family, is a very large and widespread group of flowering plants with over 32,000 species.
Rosaceae|Rosaceae is a medium-sized family of flowering plants, including about 4,828 species in 91 genera, characterized by showy flowers with five petals and numerous stamens.
Liliaceae|Liliaceae consists of monocotyledonous, perennial, herbaceous, often bulbous geophytes with large flowers and are traditionally used extensively in decorative gardening and floral arrangements worldwide.
Orchidaceae|Orchidaceae is a diverse and widespread family of flowering plants, with blooms that are often colorful and fragrant, representing one of the two largest families of flowering plants.
Iridaceae|Iridaceae is a family of plants in the order Asparagales, taking its name from the Iris genus, containing roughly 66 genera and totaling over 2,244 species globally.
Lamiaceae|Lamiaceae or Labiatae is a family of flowering plants commonly known as the mint or deadnettle or sage family, containing many widely used culinary and medicinal herbs.
Ranunculaceae|Ranunculaceae, the buttercup or crowfoot family, is a family of over 2,000 known species of flowering plants distributed worldwide, especially in temperate and cold regions of the Northern Hemisphere.
Papaveraceae|Papaveraceae is an economically important family of about 44 genera and 770 species of flowering plants in the order Ranunculales, often known colloquially as the poppy family.
Boraginaceae|Boraginaceae is the borage or forget-me-not family, including a variety of shrubs, trees, and herbs totaling about 2,000 species in 146 genera found across the globe.
Fabaceae|Fabaceae or Leguminosae, commonly known as the legume, pea, or bean family, is a large and economically important family of flowering plants with distinct fruit structures called legumes.
